Topic,Date Published,Article Name,Author,Link
Withdrawal Methods,01/11/2020,Simple ETH1 Withdrawals (Beacon chain centric),Danny Ryan,https://ethresear.ch/t/simple-eth1-withdrawals-beacon-chain-centric/8256
Withdrawal Methods,01/11/2020,Simple Transfers of Excess Balance,Jim McDonald,https://ethresear.ch/t/simple-transfers-of-excess-balance/8263
Withdrawal Methods,01/12/2020,Make Validator Withdrawals Great,Zilm,https://ethresear.ch/t/make-validator-withdrawals-great/8334
Withdrawal Methods,16/02/2021,ETH1 Withdrawal Credentials,Danny Ryan,https://github.com/ethereum/consensus-specs/pull/2149
Withdrawal Methods,21/02/2021,Withdrawal credential rotation from BLS to ETH1,Vasiliy Shapovalov,https://ethresear.ch/t/withdrawal-credential-rotation-from-bls-to-eth1/8722
Witness,01/12/2019,Protocol Changes to Bound Witness Size,Vitalik Buterin,https://ethereum-magicians.org/t/protocol-changes-to-bound-witness-size/3885
Witness,01/04/2020,The curious case of BLOCKHASH and Stateless Ethereum,Alex Beregszaszi,https://ethresear.ch/t/the-curious-case-of-blockhash-and-stateless-ethereum/7304
Witness,30/04/2020,Block Witness Formal Specification,Igor Mandrigin,https://github.com/ethereum/portal-network-specs/blob/change-goals-structure/witness.md
Witness,14/07/2020,KV-Witness,Igor Mandrigin,https://medium.com/@mandrigin/kv-witness-8985168537f9
Witness,03/08/2020,Eth Witness Experiments,Paul D,https://github.com/poemm/eth_witness_experiments
Witness,01/10/2020,Ethereum block witness format (outdated),Paul D,https://notes.ethereum.org/dfeV_C-pSI2h378AadR9DQ?view
Witness,01/10/2020,The Formal Witness Spec: An Illustrated Primer,Griffin Ichiba Hotchkiss,https://notes.ethereum.org/bjRBM5IxQQOgqp7bez15xQ
Witness,01/10/2020,Adapting Pointproofs for Witness Compression,Raghavendra,https://hackmd.io/jYZoAiK2THq50EvI6lGhMw?view
Witness,01/12/2020,Splitting Witnesses into Two Parts,Viktor Kirilov,https://ethresear.ch/t/splitting-witnesses-into-2-parts/8357
